iter	RMSE
0	1.522034615
1	0.9944962694
2	0.7244411143
3	0.5819031603
4	0.5123386471
5	0.4739724989
6	0.451566985
7	0.4353814418
8	0.4129219639
9	0.398778681
10	0.3887221439
11	0.3810892839
12	0.3734101232
13	0.3681738952
14	0.3639850779
15	0.3558136627
16	0.3498592313
17	0.3422026851
18	0.3357155597
19	0.3292469184
20	0.3249787437
21	0.3206527444
22	0.315559951
23	0.3102200036
24	0.3054277299
25	0.3010549055
26	0.2969631708
27	0.2953604558
28	0.2919317925
29	0.2876112348
30	0.2847296323
31	0.2811655754
32	0.2778868076
33	0.2762479253
34	0.2744742351
35	0.2714187948
36	0.2690304055
37	0.2664285536
38	0.2643339654
39	0.2623527037
40	0.2601233222
41	0.2575883475
42	0.256143707
43	0.2530204495
44	0.2521961388
45	0.2512581911
46	0.248359478
47	0.2471364396
48	0.2457720498
49	0.2444468227
50	0.2428366018
51	0.2420671957
52	0.2412266536
53	0.2401507245
54	0.2397925359
55	0.2377384721
56	0.2365225989
57	0.2349796091
58	0.2330802817
59	0.2322783891
60	0.2305236883
61	0.2287025387
62	0.2273761138
63	0.2265629862
64	0.2252554967
65	0.2236233563
66	0.2219739678
67	0.2207121922
68	0.2196856512
69	0.2189797285
70	0.2179177774
71	0.2169438052
72	0.2157724673
73	0.2147690558
74	0.2139596571
75	0.2131055888
76	0.2117567605
77	0.210837078
78	0.2102180736
79	0.2094884227
80	0.2088016019
81	0.2084399444
82	0.207963568
83	0.2074441639
84	0.2068381178
85	0.2060030221
86	0.2056918069
87	0.2054910903
88	0.2047734808
89	0.203874194
90	0.2027843125
91	0.2018826858
92	0.2012287651
93	0.1998050878
94	0.1985956319
95	0.197988319
96	0.1975666619
97	0.1967359086
98	0.195825458
99	0.1949212506
