iter	Passed	Remaining
0	39	3934
1	74	3651
2	113	3657
3	152	3655
4	189	3595
5	225	3526
6	265	3525
7	305	3518
8	337	3411
9	367	3310
10	394	3195
11	423	3106
12	457	3062
13	483	2968
14	506	2868
15	531	2787
16	559	2731
17	597	2723
18	629	2684
19	652	2611
20	676	2545
21	707	2508
22	741	2482
23	771	2443
24	795	2385
25	818	2329
26	841	2273
27	867	2231
28	892	2184
29	927	2163
30	964	2146
31	1002	2131
32	1040	2113
33	1074	2086
34	1110	2063
35	1145	2037
36	1173	1998
37	1194	1949
38	1224	1914
39	1253	1880
40	1279	1840
41	1307	1805
42	1332	1766
43	1364	1736
44	1393	1702
45	1419	1666
46	1453	1639
47	1483	1606
48	1517	1578
49	1548	1548
50	1575	1513
51	1598	1475
52	1618	1434
53	1641	1398
54	1670	1366
55	1701	1336
56	1734	1308
57	1771	1282
58	1809	1257
59	1842	1228
60	1882	1203
61	1921	1177
62	1951	1145
63	1970	1108
64	1999	1076
65	2036	1049
66	2064	1016
67	2099	988
68	2128	956
69	2161	926
70	2192	895
71	2217	862
72	2245	830
73	2276	799
74	2308	769
75	2342	739
76	2366	706
77	2394	675
78	2416	642
79	2439	609
80	2464	578
81	2494	547
82	2519	516
83	2554	486
84	2589	456
85	2629	428
86	2663	398
87	2695	367
88	2734	337
89	2771	307
90	2813	278
91	2855	248
92	2895	217
93	2939	187
94	2981	156
95	3017	125
96	3048	94
97	3084	62
98	3119	31
99	3153	0
